texto,origen,texto_limpio,tokens,longitud
#AAAJ Formación Confirmada! Bryan Cortes  Leandro Lozano  Francisco Alvarez  Tobias Ramirez  Sebastian Prieto  Enzo Perez  Nicolas Oroz  Alan Lescano   Hernan Lopez Muñoz  Lautaro Giaccone  Tomas Molina,x,formacion confirmada bryan cortes leandro lozano francisco alvarez tobias ramirez sebastian prieto enzo perez nicolas oroz alan lescano hernan lopez munoz lautaro giaccone tomas molina,"['formacion', 'confirm', 'bryan', 'cort', 'leandr', 'lozan', 'francisc', 'alvarez', 'tobi', 'ramirez', 'sebasti', 'priet', 'enzo', 'perez', 'nicol', 'oroz', 'alan', 'lescan', 'hern', 'lopez', 'munoz', 'lautar', 'giaccon', 'tom', 'molin']",26
#CopaArgentina 2026  32avos   Asi forma #AAAJ  B. Cortés L. Lozano F. Álvarez T. Ramírez S. Prieto E. Pérez N. Oroz A. Lescano H. López Muñoz L. Giaccone T. Molina  DT: Nicolás Diez,x,avos asi forma b cortes l lozano f alvarez t ramirez s prieto e perez n oroz a lescano h lopez munoz l giaccone t molina dt nicolas diez,"['avos', 'asi', 'form', 'cort', 'lozan', 'alvarez', 'ramirez', 'priet', 'perez', 'oroz', 'lescan', 'lopez', 'munoz', 'giaccon', 'molin', 'nicol', 'diez']",32
#AAAJ  Estos son los once titulares para enfrentar a Midland.  25 Brayan Cortés 22 Leandro Lozano 16 Francisco Álvarez 2 Tobías Ramírez 20 Sebastian Prieto  10 Alan Lescano 33 Enzo Pérez 11 Nicolás Oroz 23 Hernán López Muñoz 7 Lautaro Giaccone 27 Tomás Molina  DT: Nico Diez,x,estos son los once titulares para enfrentar a midland brayan cortes leandro lozano francisco alvarez tobias ramirez sebastian prieto alan lescano enzo perez nicolas oroz hernan lopez munoz lautaro giaccone tomas molina dt nico diez,"['once', 'titular', 'enfrent', 'midland', 'bray', 'cort', 'leandr', 'lozan', 'francisc', 'alvarez', 'tobi', 'ramirez', 'sebasti', 'priet', 'alan', 'lescan', 'enzo', 'perez', 'nicol', 'oroz', 'hern', 'lopez', 'munoz', 'lautar', 'giaccon', 'tom', 'molin', 'nic', 'diez']",47
"Secta y abuso en el Senado Bonaerense hay más de 20 victimas, encabezado por Daniel Muñoz y Nicolas Rodriguez y silencio cómplice  @Kicillofok   @actrices_arg   @myriambregman   @magariovero   @drjorgerachid   @C5N   @diegobranc",x,secta y abuso en el senado bonaerense hay mas de victimas encabezado por daniel munoz y nicolas rodriguez y silencio complice,"['sect', 'abus', 'sen', 'bonaerens', 'mas', 'victim', 'encabez', 'daniel', 'munoz', 'nicol', 'rodriguez', 'silenci', 'complic']",29
"Secta y abuso en el Senado Bonaerense hay más de 20 victimas, encabezado por Daniela Muñoz y Nicolas Rodriguez y obviamente el silencio cómplice  @Kicillofok   @actrices_arg   @myriambregman   @magariovero   @drjorgerachid   @C5N   @diegobranca",x,secta y abuso en el senado bonaerense hay mas de victimas encabezado por daniela munoz y nicolas rodriguez y obviamente el silencio complice,"['sect', 'abus', 'sen', 'bonaerens', 'mas', 'victim', 'encabez', 'daniel', 'munoz', 'nicol', 'rodriguez', 'obvi', 'silenci', 'complic']",31
[JUSTICIA] Imputaron por otros cinco hechos de abuso sexual a los dos empleados del Senado bonaerense acusados de liderar una secta: Nicolás Rodríguez y Daniela Silva Muñoz ya se encuentran detenidos por otros hechos de violencia sexual contra tres mujeres.,x,justicia imputaron por otros cinco hechos de abuso sexual a los dos empleados del senado bonaerense acusados de liderar una secta nicolas rodriguez y daniela silva munoz ya se encuentran detenidos por otros hechos de violencia sexual contra tres mujeres,"['justici', 'imput', 'cinc', 'hech', 'abus', 'sexual', 'dos', 'emple', 'sen', 'bonaerens', 'acus', 'lider', 'sect', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'encuentr', 'deten', 'hech', 'violenci', 'sexual', 'tres', 'mujer']",40
"[POLICIALES] Detuvieron a dos empleados del Senado bonaerense acusados de liderar la secta ""Orden de la Luz"", en donde abusaban de mujeres: Nicolás Daniel Rodríguez y Daniela Silva Muñoz fueron por denunciados por violación.  x.com/elcancillercom…",x,policiales detuvieron a dos empleados del senado bonaerense acusados de liderar la secta orden de la luz en donde abusaban de mujeres nicolas daniel rodriguez y daniela silva munoz fueron por denunciados por violacion xcomelcancillercom,"['policial', 'detuv', 'dos', 'emple', 'sen', 'bonaerens', 'acus', 'lider', 'sect', 'orden', 'luz', 'abus', 'mujer', 'nicol', 'daniel', 'rodriguez', 'daniel', 'silv', 'munoz', 'denunci', 'violacion', 'xcomelcancillercom']",35
Nuevas imputaciones para los empleados del Senado bonaerense acusados de liderar una secta  Nicolás Rodríguez y Daniela Silva Muñoz enfrentan cargos por abusos sexuales reiterados y manipulación psicológica. Mañana peritarán sus celulares,x,nuevas imputaciones para los empleados del senado bonaerense acusados de liderar una secta nicolas rodriguez y daniela silva munoz enfrentan cargos por abusos sexuales reiterados y manipulacion psicologica manana peritaran sus celulares,"['nuev', 'imput', 'emple', 'sen', 'bonaerens', 'acus', 'lider', 'sect', 'nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'enfrent', 'carg', 'abus', 'sexual', 'reiter', 'manipul', 'psicolog', 'manan', 'perit', 'celular']",32
"#LaPlata | Nicolás Rodríguez y Daniela Silva Muñoz, detenidos desde diciembre, quedaron acusados en nuevos episodios de violencia sexual mientras la fiscalía avanza con medidas clave y declaraciones testimoniales que refuerzan las imputaciones",x,nicolas rodriguez y daniela silva munoz detenidos desde diciembre quedaron acusados en nuevos episodios de violencia sexual mientras la fiscalia avanza con medidas clave y declaraciones testimoniales que refuerzan las imputaciones,"['nicol', 'rodriguez', 'daniel', 'silv', 'munoz', 'deten', 'diciembr', 'qued', 'acus', 'nuev', 'episodi', 'violenci', 'sexual', 'mientr', 'fiscali', 'avanz', 'med', 'clav', 'declar', 'testimonial', 'refuerz', 'imput']",33
Hemos ordenado la economía y hoy podemos darles resultados que se sienten en cada hogar ecuatoriano. … Ver más,facebook,hemos ordenado la economia y hoy podemos darles resultados que se sienten en cada hogar ecuatoriano ver mas,"['orden', 'economi', 'hoy', 'pod', 'darl', 'result', 'sient', 'cad', 'hog', 'ecuatorian', 'ver', 'mas']",19
Daniel Noboa se reunió con el presidente de Singapur y participó en foro sobre la reducción de la brecha de género en su último día en Davos. Detalles en el link https:… Ver más,facebook,daniel noboa se reunio con el presidente de singapur y participo en foro sobre la reduccion de la brecha de genero en su ultimo dia en davos detalles en el link https ver mas,"['daniel', 'nobo', 'reuni', 'president', 'singapur', 'particip', 'for', 'reduccion', 'brech', 'gener', 'ultim', 'dia', 'dav', 'detall', 'link', 'https', 'ver', 'mas']",34
"Desde el primer día, el Gobierno del presidente Daniel Noboa  Azin declaró la guerra al narcotráfico y al terrorismo. El Plan de Seguridad avanza con acciones concretas… Ver más",facebook,desde el primer dia el gobierno del presidente daniel noboa azin declaro la guerra al narcotrafico y al terrorismo el plan de seguridad avanza con acciones concretas ver mas,"['prim', 'dia', 'gobiern', 'president', 'daniel', 'nobo', 'azin', 'declar', 'guerr', 'narcotraf', 'terror', 'plan', 'segur', 'avanz', 'accion', 'concret', 'ver', 'mas']",29
BOLETÍN | #ElNuevoEcuador,facebook,boletin,['boletin'],3
"#Ecuador|| ""Es como cuando ves una pelea entre amigos... Ojalá que se resuelva hablando, no imponiendo"". Daniel Noboa analizando el mapa geopolítico entre #EstadosUnido… Ver más",facebook,es como cuando ves una pelea entre amigos ojala que se resuelva hablando no imponiendo daniel noboa analizando el mapa geopolitico entre ver mas,"['ves', 'pele', 'amig', 'ojal', 'resuelv', 'habl', 'impon', 'daniel', 'nobo', 'analiz', 'map', 'geopolit', 'ver', 'mas']",26
Daniel Noboa en Davos: reconstruir la confianza en América Latina.… Ver más,facebook,daniel noboa en davos reconstruir la confianza en america latina ver mas,"['daniel', 'nobo', 'dav', 'reconstru', 'confianz', 'amer', 'latin', 'ver', 'mas']",12
#ATENCIÓN | El presidente Daniel Noboa impone una tasa de seguridad del 30% a las importaciones provenientes de Colombia. Conozca las razones https://f.mtr.cool/tbhqlrrhzr,facebook,el presidente daniel noboa impone una tasa de seguridad del a las importaciones provenientes de colombia conozca las razones,"['president', 'daniel', 'nobo', 'impon', 'tas', 'segur', 'import', 'provenient', 'colombi', 'conozc', 'razon']",23
⟫ https://f.mtr.cool/yypwkhwgbh |   Daniel Noboa continúa con su agenda en Bélgica,facebook,daniel noboa continua con su agenda en belgica,"['daniel', 'nobo', 'continu', 'agend', 'belgic']",11
⟫ https://f.mtr.cool/fworkvbimt | Daniel Noboa habló de alias 'Fito' y sus operaciones en Colombia,facebook,daniel noboa hablo de alias fito y sus operaciones en colombia,"['daniel', 'nobo', 'habl', 'ali', 'fit', 'oper', 'colombi']",14
"Daniel Noboa: ""Hemos ordenado la economía y hoy los resultados se reflejan en cada hogar”, señaló el presidente Daniel Noboa, al destacar la tasa del 2.99% para la prim… Ver más",facebook,daniel noboa hemos ordenado la economia y hoy los resultados se reflejan en cada hogar senalo el presidente daniel noboa al destacar la tasa del para la prim ver mas,"['daniel', 'nobo', 'orden', 'economi', 'hoy', 'result', 'reflej', 'cad', 'hog', 'senal', 'president', 'daniel', 'nobo', 'destac', 'tas', 'prim', 'ver', 'mas']",31
#Política| El presidente Daniel Noboa finalizó su viaje a Bélgica con una reunión con el alcalde de Brujas. Conozca los temas que se trataron en la reunión    https://f.mtr.cool/cqtycmslvi,facebook,el presidente daniel noboa finalizo su viaje a belgica con una reunion con el alcalde de brujas conozca los temas que se trataron en la reunion,"['president', 'daniel', 'nobo', 'finaliz', 'viaj', 'belgic', 'reunion', 'alcald', 'bruj', 'conozc', 'tem', 'trat', 'reunion']",28
Daniel Noboa llegó a Bélgica   https://f.mtr.cool/tmvadyndce,facebook,daniel noboa llego a belgica,"['daniel', 'nobo', 'lleg', 'belgic']",6
Daniel Noboa cumple agenda en Europa.,facebook,daniel noboa cumple agenda en europa,"['daniel', 'nobo', 'cumpl', 'agend', 'europ']",6
El presidente participará en el Foro Económico Mundial de Davos y mantiene reuniones con líderes internacionales y organismos mult… Ver más,facebook,el presidente participara en el foro economico mundial de davos y mantiene reuniones con lideres internacionales y organismos mult ver mas,"['president', 'particip', 'for', 'econom', 'mundial', 'dav', 'mantien', 'reunion', 'lider', 'internacional', 'organ', 'mult', 'ver', 'mas']",21
#EcuadorEnElAbandono,facebook,,[],1
"​¡INDIGNANTE! Mientras tú te desvelas por la inseguridad y el desempleo, Daniel Noboa usa a Ecuador solo como hotel de paso.",facebook,indignante mientras tu te desvelas por la inseguridad y el desempleo daniel noboa usa a ecuador solo como hotel de paso,"['indign', 'mientr', 'desvel', 'insegur', 'desemple', 'daniel', 'nobo', 'usa', 'ecuador', 'sol', 'hotel', 'pas']",21
​E… Ver más,facebook,e ver mas,"['ver', 'mas']",3
⟫ https://f.mtr.cool/lmwcrcdtuz |   Daniel Noboa habló sobre la firma del acuerdo con la Unión Europea,facebook,daniel noboa hablo sobre la firma del acuerdo con la union europea,"['daniel', 'nobo', 'habl', 'firm', 'acuerd', 'union', 'europe']",15
¿PRESIDENTE O PASAJERO FRECUENTE? EL RÉCORD DE NOBOA.,facebook,presidente o pasajero frecuente el record de noboa,"['president', 'pasajer', 'frecuent', 'record', 'nobo']",8
"​¡Los números no mienten! Al 25 de enero de 2026, Daniel Noboa ya suma 31 VIAJES INTERNACIONALES en apenas 14 m… Ver más",facebook,los numeros no mienten al de enero de daniel noboa ya suma viajes internacionales en apenas m ver mas,"['numer', 'mient', 'ener', 'daniel', 'nobo', 'sum', 'viaj', 'internacional', 'apen', 'ver', 'mas']",23
"#ATENCIÓN | El presidente, Daniel Noboa, viajará a Panamá del 27 al 29 de enero para participar en Foro Económico de la CAF. Más detalles en el enlace https://f.mtr.cool/pyhkxsturt",facebook,el presidente daniel noboa viajara a panama del al de enero para participar en foro economico de la caf mas detalles en el enlace,"['president', 'daniel', 'nobo', 'viaj', 'panam', 'ener', 'particip', 'for', 'econom', 'caf', 'mas', 'detall', 'enlac']",29
https://f.mtr.cool/hlwfxfgsdg |   Te contamos sobre qué tratará la conferencia en la que participará Daniel Noboa,facebook,te contamos sobre que tratara la conferencia en la que participara daniel noboa,"['cont', 'trat', 'conferent', 'particip', 'daniel', 'nobo']",15
"El Presidente Daniel Noboa, anunció que se aplicará una tasa de seguridad del 30 % a las importaciones provenientes de Colombia a partir del 1 de febrero, esto ya que… Ver más",facebook,el presidente daniel noboa anuncio que se aplicara una tasa de seguridad del a las importaciones provenientes de colombia a partir del de febrero esto ya que ver mas,"['president', 'daniel', 'nobo', 'anunci', 'aplic', 'tas', 'segur', 'import', 'provenient', 'colombi', 'part', 'febrer', 'ver', 'mas']",32
"El presidente Daniel Noboa a través de X, anunció que Ecuador aplicará una tasa de seguridad del 30% a las importaciones desde Colombia a partir del 1 de febrero. La me… Ver más",facebook,el presidente daniel noboa a traves de x anuncio que ecuador aplicara una tasa de seguridad del a las importaciones desde colombia a partir del de febrero la me ver mas,"['president', 'daniel', 'nobo', 'trav', 'anunci', 'ecuador', 'aplic', 'tas', 'segur', 'import', 'colombi', 'part', 'febrer', 'ver', 'mas']",33
#Tendencia Daniel Noboa liderará el Foro Económico Internacional América Latina y El Caribe CAF… Ver más,facebook,daniel noboa liderara el foro economico internacional america latina y el caribe caf ver mas,"['daniel', 'nobo', 'lider', 'for', 'econom', 'internacional', 'amer', 'latin', 'carib', 'caf', 'ver', 'mas']",16
⟫ https://f.mtr.cool/nxyyxziwzc |   Gustavo Petro respondió a Daniel Noboa tras la tasa a importaciones,facebook,gustavo petro respondio a daniel noboa tras la tasa a importaciones,"['gustav', 'petr', 'respondi', 'daniel', 'nobo', 'tras', 'tas', 'import']",14
⟫ https://f.mtr.cool/onpnqvsmhs |   Así avanza la participación de Daniel Noboa en el Foro de Davos,facebook,asi avanza la participacion de daniel noboa en el foro de davos,"['asi', 'avanz', 'particip', 'daniel', 'nobo', 'for', 'dav']",15
⟫ https://f.mtr.cool/idnowvnzcz |   El presidente Daniel Noboa realiza un nuevo viaje internacional,facebook,el presidente daniel noboa realiza un nuevo viaje internacional,"['president', 'daniel', 'nobo', 'realiz', 'nuev', 'viaj', 'internacional']",12
"El Presidente Daniel Noboa, presentó al país una hoja de ruta para combatir la inseguridad. El plan articula a la UAFE, Inteligencia, Policía Nacional y Fuerzas Armad… Ver más",facebook,el presidente daniel noboa presento al pais una hoja de ruta para combatir la inseguridad el plan articula a la uafe inteligencia policia nacional y fuerzas armad ver mas,"['president', 'daniel', 'nobo', 'present', 'pais', 'hoj', 'rut', 'combat', 'insegur', 'plan', 'articul', 'uaf', 'inteligent', 'polici', 'nacional', 'fuerz', 'armad', 'ver', 'mas']",29
El presidente Daniel Noboa afirmó que la evidencia recabada por las autoridades confirma que el narcotráfico que afecta actualmente a Ecuador tiene un carácter regional… Ver más,facebook,el presidente daniel noboa afirmo que la evidencia recabada por las autoridades confirma que el narcotrafico que afecta actualmente a ecuador tiene un caracter regional ver mas,"['president', 'daniel', 'nobo', 'afirm', 'evident', 'recab', 'autor', 'confirm', 'narcotraf', 'afect', 'actual', 'ecuador', 'caract', 'regional', 'ver', 'mas']",27
#Política | Daniel Noboa viajará a Europa para participar del Foro de Davos. Conozca la comitiva que lo acompañará https://f.mtr.cool/zigxdtfgil,facebook,daniel noboa viajara a europa para participar del foro de davos conozca la comitiva que lo acompanara,"['daniel', 'nobo', 'viaj', 'europ', 'particip', 'for', 'dav', 'conozc', 'comit', 'acompan']",20
"Uno es chat gpt el otro es Stable Diffusion, Midjourney, DALL·E.",facebook,uno es chat gpt el otro es stable diffusion midjourney dalle,"['chat', 'gpt', 'stabl', 'diffusion', 'midjourney', 'dall']",11
Así se escriben los titulares!!,facebook,asi se escriben los titulares,"['asi', 'escrib', 'titular']",5
"Cuantas toneladas de ""harina"" llevará ......",facebook,cuantas toneladas de harina llevara,"['cuant', 'tonel', 'harin', 'llev']",6
Bendiciones presidente,facebook,bendiciones presidente,"['bendicion', 'president']",2
El verdadero “En todos lados menos en la casa”,facebook,el verdadero en todos lados menos en la casa,"['verdader', 'lad', 'men', 'cas']",9
Para hablar de seguridad,facebook,para hablar de seguridad,"['habl', 'segur']",4
"Y prácticamente en mayo sé vá, definitivamente",facebook,y practicamente en mayo se va definitivamente,"['practic', 'may', 'definit']",7
Oe y las carreras universitarias...,facebook,oe y las carreras universitarias,"['carrer', 'universitari']",5
Quien lo necesita....,facebook,quien lo necesita,['necesit'],3
Yo creo que el sería muy feliz viajando con su amigo el menestra,facebook,yo creo que el seria muy feliz viajando con su amigo el menestra,"['cre', 'seri', 'feliz', 'viaj', 'amig', 'menestr']",13
¡Hola amig@!,facebook,hola amig,"['hol', 'amig']",2
Suscríbete a los nuevos contenidos … Ver más,facebook,suscribete a los nuevos contenidos ver mas,"['suscribet', 'nuev', 'conten', 'ver', 'mas']",8
En vez de estar paseándose aga algo por nuestro Ecuador,facebook,en vez de estar paseandose aga algo por nuestro ecuador,"['vez', 'pas', 'aga', 'ecuador']",10
Otra vez se va Kiko de viaje  ... Q bonito  — con Patricia Ramirez Mora.,facebook,otra vez se va kiko de viaje q bonito con patricia ramirez mora,"['vez', 'kik', 'viaj', 'bonit', 'patrici', 'ramirez', 'mor']",15
Infeliz pelotudo,facebook,infeliz pelotudo,"['infeliz', 'pelotud']",2
El mismo que te dijo que una hora de vuelo del avión presidencial equivale a una carrera universitaria medio pisó el país y ya se va de viaje de nuevo y así es como el presidente travelino te vendió humo y te vio la cara.,facebook,el mismo que te dijo que una hora de vuelo del avion presidencial equivale a una carrera universitaria medio piso el pais y ya se va de viaje de nuevo y asi es como el presidente travelino te vendio humo y te vio la cara,"['mism', 'dij', 'hor', 'vuel', 'avion', 'presidencial', 'equival', 'carrer', 'universitari', 'medi', 'pis', 'pais', 'viaj', 'nuev', 'asi', 'president', 'travelin', 'vendi', 'hum', 'vio', 'car']",45
"Nos reunimos con Alex Karp, CEO de Palantir Technologies, para reforzar la lucha contra el crimen organizado en nuestras fronteras, usando información, inteligencia y a… Ver más",facebook,nos reunimos con alex karp ceo de palantir technologies para reforzar la lucha contra el crimen organizado en nuestras fronteras usando informacion inteligencia y a ver mas,"['reun', 'alex', 'karp', 'ceo', 'palant', 'technologi', 'reforz', 'luch', 'crim', 'organiz', 'fronter', 'usand', 'inform', 'inteligent', 'ver', 'mas']",27
Hemos ordenado la economía y hoy podemos darles resultados que se sienten en cada hogar ecuatoriano.,facebook,hemos ordenado la economia y hoy podemos darles resultados que se sienten en cada hogar ecuatoriano,"['orden', 'economi', 'hoy', 'pod', 'darl', 'result', 'sient', 'cad', 'hog', 'ecuatorian']",16
"Gracias a ese trabajo serio, hoy damos un paso histórico: ponemos a su disposición la tasa más baja de la historia del Ecuador en créditos hipotecarios.",facebook,gracias a ese trabajo serio hoy damos un paso historico ponemos a su disposicion la tasa mas baja de la historia del ecuador en creditos hipotecarios,"['graci', 'trabaj', 'seri', 'hoy', 'dam', 'pas', 'histor', 'pon', 'disposicion', 'tas', 'mas', 'baj', 'histori', 'ecuador', 'credit', 'hipotecari']",26
2.99% para tu primera casa con Credicasa BIESS. Les dejo el link para comunicarse con un asesor,facebook,para tu primera casa con credicasa biess les dejo el link para comunicarse con un asesor,"['primer', 'cas', 'credicas', 'biess', 'dej', 'link', 'comunic', 'asesor']",17
https://wa.me/593980530881,facebook,,[],1
"Jajajaja, habrá quien le crea?",facebook,jajajaja habra quien le crea,"['jajajaj', 'habr', 'cre']",5
"Ni en nuestros hogares ni en la calle no nos sentimos bien, porque no podemos salir tranquilos con tanta delincuencia que incrementó",facebook,ni en nuestros hogares ni en la calle no nos sentimos bien porque no podemos salir tranquilos con tanta delincuencia que incremento,"['hogar', 'call', 'sent', 'bien', 'pod', 'sal', 'tranquil', 'tant', 'delincuent', 'increment']",22
"desde que entro usted a ka presidencia con el miedo a que nos roben lo poco que tenemos porque hoy en día la vida esta muy cara, en los hospitales no hay nada de nada ya que a los pacientes les toca comprar todo e incluso asta los alimentos ,suerte seria si en un hospital tengan gasas ..,dígame usted señor Daniel Noboa eso es le llama estar bien?  que me responde a eso ?",facebook,desde que entro usted a ka presidencia con el miedo a que nos roben lo poco que tenemos porque hoy en dia la vida esta muy cara en los hospitales no hay nada de nada ya que a los pacientes les toca comprar todo e incluso asta los alimentos suerte seria si en un hospital tengan gasas digame usted senor daniel noboa eso es le llama estar bien que me responde a eso,"['entro', 'usted', 'president', 'mied', 'rob', 'hoy', 'dia', 'vid', 'car', 'hospital', 'pacient', 'toc', 'compr', 'inclus', 'asta', 'aliment', 'suert', 'seri', 'hospital', 'gas', 'digam', 'usted', 'senor', 'daniel', 'nobo', 'llam', 'bien', 'respond']",74
"Excelente Dr. Daniel Noboa, nuestro Presidente Constitucional de la República del Ecuador.",facebook,excelente dr daniel noboa nuestro presidente constitucional de la republica del ecuador,"['excelent', 'daniel', 'nobo', 'president', 'constitucional', 'republ', 'ecuador']",12
Felicidades Presidente,facebook,felicidades presidente,"['felic', 'president']",2
"Me parece excelente pero ya haga algo con tanto sicariato, vacunas Guayaquil necesita ayuda urgente..!!",facebook,me parece excelente pero ya haga algo con tanto sicariato vacunas guayaquil necesita ayuda urgente,"['parec', 'excelent', 'hag', 'sicariat', 'vacun', 'guayaquil', 'necesit', 'ayud', 'urgent']",15
Tan bajo como la credibilidad de Noboa...,facebook,tan bajo como la credibilidad de noboa,"['tan', 'baj', 'credibil', 'nobo']",7
Bello mi presi !,facebook,bello mi presi,"['bell', 'presi']",4
Deberia bajar las tasas de los q ya tenemos esas deudas con el biess,facebook,deberia bajar las tasas de los q ya tenemos esas deudas con el biess,"['deberi', 'baj', 'tas', 'deud', 'biess']",14
DIOS le Continúe Bendecido sr. Presidente Daniel Noboa,facebook,dios le continue bendecido sr presidente daniel noboa,"['dios', 'continu', 'bendec', 'president', 'daniel', 'nobo']",8
Por Nuestras Generaciones .,facebook,por nuestras generaciones,['gener'],4
Que nos devuelvan el IVA a la tercera edad que adeudan desde mayo 2025 póngase al día el SRI dinero que nos pertenece por ley y se cobraron ya,facebook,que nos devuelvan el iva a la tercera edad que adeudan desde mayo pongase al dia el sri dinero que nos pertenece por ley y se cobraron ya,"['devuelv', 'iva', 'tercer', 'edad', 'adeud', 'may', 'pong', 'dia', 'sri', 'diner', 'pertenec', 'ley', 'cobr']",29
Sr presidente que el Biess no niegue los convenios de pago no quiero quedarme en la calle,facebook,sr presidente que el biess no niegue los convenios de pago no quiero quedarme en la calle,"['president', 'biess', 'nieg', 'conveni', 'pag', 'quier', 'qued', 'call']",17
Esta soñando o son número que le da a su manera sin resultado. Según INEC la probreza se duplicó después de 3 años.,facebook,esta sonando o son numero que le da a su manera sin resultado segun inec la probreza se duplico despues de anos,"['son', 'numer', 'maner', 'result', 'segun', 'inec', 'probrez', 'duplic', 'despu', 'anos']",23
Este vive otra realidad,facebook,este vive otra realidad,"['viv', 'realid']",4
Presi Daniel Noboa Azin la seguridad del país ….,facebook,presi daniel noboa azin la seguridad del pais,"['presi', 'daniel', 'nobo', 'azin', 'segur', 'pais']",9
La salud en la hospital no hay insumos ….,facebook,la salud en la hospital no hay insumos,"['salud', 'hospital', 'insum']",9
Póngase pilas …..,facebook,pongase pilas,"['pong', 'pil']",3
"Sea realista... estamos igual o peor. La delincuencia adelante, los hospitales sin médicos y sin medicinas, la educación en decadencia... dedíquese a trabajar por el país y deje de andar paseándose",facebook,sea realista estamos igual o peor la delincuencia adelante los hospitales sin medicos y sin medicinas la educacion en decadencia dediquese a trabajar por el pais y deje de andar paseandose,"['realist', 'igual', 'peor', 'delincuent', 'adel', 'hospital', 'medic', 'medicin', 'educ', 'decadent', 'dediques', 'trabaj', 'pais', 'dej', 'andar', 'pas']",31
"Señor presidente el BIESS es para quienes están afiliados es decir tienen sueldo es decir tienen empleo. Pero hay un porcentaje altísimo de aquellos he no tienen empleo especialmente la clase media que corre el riesgo de caer en pobreza, y ni hablar de los pobres no alcanza ni para el arriendo. Porfavor hay que crear mecanismos creativos para sacar de la pobreza al país",facebook,senor presidente el biess es para quienes estan afiliados es decir tienen sueldo es decir tienen empleo pero hay un porcentaje altisimo de aquellos he no tienen empleo especialmente la clase media que corre el riesgo de caer en pobreza y ni hablar de los pobres no alcanza ni para el arriendo porfavor hay que crear mecanismos creativos para sacar de la pobreza al pais,"['senor', 'president', 'biess', 'estan', 'afili', 'dec', 'sueld', 'dec', 'emple', 'porcentaj', 'altisim', 'aquell', 'emple', 'especial', 'clas', 'medi', 'corr', 'riesg', 'caer', 'pobrez', 'habl', 'pobr', 'alcanz', 'arriend', 'porfavor', 'cre', 'mecan', 'creativ', 'sac', 'pobrez', 'pais']",65
Creo que eso que Ud dice solo está en su cabeza ... Porque l realidad es otra,facebook,creo que eso que ud dice solo esta en su cabeza porque l realidad es otra,"['cre', 'dic', 'sol', 'cabez', 'realid']",17
Salir a la calle es un manera de supervivencia diaria,facebook,salir a la calle es un manera de supervivencia diaria,"['sal', 'call', 'maner', 'supervivent', 'diari']",10
Adelante ecuador adelante,facebook,adelante ecuador adelante,"['adel', 'ecuador', 'adel']",3
Desde quininde sector valle del Sade,facebook,desde quininde sector valle del sade,"['quinind', 'sector', 'vall', 'sad']",6
Le saluda Dany Carranza sargento primero de la policía nacional del ecuador en servicio pasivo.,facebook,le saluda dany carranza sargento primero de la policia nacional del ecuador en servicio pasivo,"['salud', 'dany', 'carranz', 'sargent', 'primer', 'polici', 'nacional', 'ecuador', 'servici', 'pasiv']",15
Los buenos estamos con usted,facebook,los buenos estamos con usted,"['buen', 'usted']",5
Bendiciones para usted y su equipo de trabajo,facebook,bendiciones para usted y su equipo de trabajo,"['bendicion', 'usted', 'equip', 'trabaj']",8
"Será  voy a hacer la prueba y les cuento , perfecto",facebook,sera voy a hacer la prueba y les cuento perfecto,"['ser', 'voy', 'hac', 'prueb', 'cuent', 'perfect']",11
Excelente Sr. Presidente,facebook,excelente sr presidente,"['excelent', 'president']",3
"Justo esto cuando va a sacar de las arcas 280 mill?? Q coincidencia, por q no hace 2 años? Y tiene q ser Justo ahora?",facebook,justo esto cuando va a sacar de las arcas mill q coincidencia por q no hace anos y tiene q ser justo ahora,"['just', 'sac', 'arcas', 'mill', 'coincident', 'hac', 'anos', 'ser', 'just', 'ahor']",25
Bellooooooo,facebook,bellooooooo,['belloooooo'],1
Ahora paso 2 que el distrito dos de educacion del Azuay pague la mora patronal.,facebook,ahora paso que el distrito dos de educacion del azuay pague la mora patronal,"['ahor', 'pas', 'distrit', 'dos', 'educ', 'azuay', 'pag', 'mor', 'patronal']",15
Pero de q economía Abla de la suya y de sus familiares xq el Ecuador se cae en pedazos no ay seguridad no ay salud no ay nada,facebook,pero de q economia abla de la suya y de sus familiares xq el ecuador se cae en pedazos no ay seguridad no ay salud no ay nada,"['economi', 'abla', 'familiar', 'ecuador', 'cae', 'pedaz', 'segur', 'salud']",28
Mi apoyo a esté señor.,facebook,mi apoyo a este senor,"['apoy', 'senor']",5
"Seguridad, salud y educación por favor..",facebook,seguridad salud y educacion por favor,"['segur', 'salud', 'educ', 'favor']",6
Ya nadie te cree... Ecuador no tiene presidente,facebook,ya nadie te cree ecuador no tiene presidente,"['nadi', 'cre', 'ecuador', 'president']",8
Algo bueno por fin!!!,facebook,algo bueno por fin,"['buen', 'fin']",4
Este mucho me llena de orgullo,facebook,este mucho me llena de orgullo,"['llen', 'orgull']",6
